LINK,CONTENT,AUTHOR,RETWEETS,QUOTES,LIKES,DATE,NARRATIVE
https://x.com/scarlett4kids/status/1661888114720161792,Hereâ€™s why the ,Scarlett Johnson,5104,248,23200,"8:12 PM Â· May 25, 2023",target_suits_engagements
https://x.com/glennbeck/status/1661436833060847625,"In just one week, Target has gone from applauding its newest pro-trans merchandise as a ""good business decision"" to relocating it to the back of some stores. This is because people like YOU decided to speak with your dollars and let them know you've had ENOUGH of this.",Glenn Beck,875,46,4554,"2:19 PM Â· May 24, 2023",target_suits_engagements
https://x.com/iheartmindy/status/1662202380606373888,"For all the pedo-apologists trying to claim Targetâ€™s â€œgenital tuckingâ€ swimsuits arenâ€™t being promoted to kidsâ€¦then why are they using one to model them?

Take your lies and your fake fact checkers and shove them, groomers. ",Mindy MF Robinson,580,31,1928,"5:01 PM Â· May 26, 2023",target_suits_engagements
https://x.com/MattWalshShow/status/1658555417251704832,What ,The Matt Walsh Show,14300,1407,39800,"3:30 PM Â· May 16, 2023",target_suits_engagements
https://x.com/scarlett4kids/status/1661124520093122565,Conservative women should be embarrassed to shop at ,Scarlett Johnson,6783,372,24800,"5:38 PM Â· May 23, 2023",target_suits_engagements
https://x.com/Liz_Wheeler/status/1659922300513263616,Targetâ€™s transgender â€œtuck-friendlyâ€ clothing for children was inspired by a drag queen. These people are deliberately destroying our kids. I will never spend another penny at Target. Boycott them into obscurity.,Liz Wheeler,4383,279,13400,"10:01 AM Â· May 20, 2023",target_suits_engagements
https://x.com/megbasham/status/1661843483043176466,So ,Megan Basham,3034,182,12100,"5:15 PM Â· May 25, 2023",target_suits_engagements
https://x.com/charliekirk11/status/1661065095919849472,"BREAKING: Target is holding an ""emergency"" meeting over its woke LGBTQ merchandise and tuck friendly bathing suits in the kids section, trying to avoid a ""Bud Light Situation"" 

Target hates you. Stop shopping there. Make them suffer!",Charlie Kirk,3093,287,12700,"1:42 PM Â· May 23, 2023",target_suits_engagements
https://x.com/DameScorpio/status/1723294486141272144,THE BIGGEST BUSINESS LOSERS OF THE YEARâ€¦,ğ““ğ“ªğ“»,198,1,295,"5:59 AM Â· Nov 11, 2023",target_suits_engagements
https://x.com/Teagan1776/status/1661221132383449090,"Tuck Friendly Target can hold all the Emergency meetings they want, yet the fact is they targeted Children. There is No amount of rebranding or saying Oopsy that will Ever change public opinion when it comes to forgiving groomers! Bye Felicia!!!",Teagan1776,816,50,1149,"12:02 AM Â· May 24, 2023",target_suits_engagements
https://x.com/DrLoupis/status/1658040389054484483,The kids pride collection from Target (US) includes a penis tucking swimsuit for babies.,Dr. Anastasia Maria Loupis,413,113,1015,"5:23 AM Â· May 15, 2023",target_suits_engagements
https://x.com/libsoftiktok/status/1660986542972624896,Target has gone completely woke. Theyâ€™re now selling tucking and binding clothing for little kids.,Libs of TikTok,17200,3865,71400,"8:30 AM Â· May 23, 2023",target_suits_engagements
https://x.com/libsoftiktok/status/1757080853665169706,"Colorado Springs shooter: nonbinary 
Nashville school shooter: trans
Aberdeen shooter: trans
Denver school shooter: trans
Iowa school shooter: trans/genderfluid
Lakewood Church shooter: trans

The modern LGBTQ+ movement is radicalizing our youth into becoming violent extremists.",Libs of TikTok,15500,961,52600,"11:34 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/EndWokeness/status/1757085158744756236,"The shooter behind the Joel Osteen church attack in Lakewood yesterday:

-Leftist
-Transgender 
-El Salvadoran immigrant 
-Free Palestine sticker on the gun

Expect this story to disappear real quick",End Wokeness,12600,380,62500,"11:52 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/libsoftiktok/status/1757078207554281823,"BREAKING: The Lakewood Church shooter was transgender.

Watch how quickly this story disappears.",Libs of TikTok,22200,1106,91900,"11:24 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/AmiriKing/status/1758566662406636026,"The common denominator:

2018 Aberdeen Shooter - Transgender

2019 Colorado shooter 1 - transgender

2019 Denver shooter 2 - transgender

2023 Nashville shooter - transgender

2024 Iowa shooter - transgender

2024 Lakewood shooter - transgender",Amiri King,1019,108,3578,"1:58 PM Â· Feb 16, 2024",lakewood_shooter_engagements
https://x.com/visegrad24/status/1757085310809251896,"BREAKING:

The shooting at Joel's Osteen's Lakewood Church in Houston turns out to be an anti-Israel terror attack.

A 5-y-old boy was critically injured after being shot by the transgender woman Genesse Moreno, born as Jeffrey Moreno.

""Free Palestine"" was written on the rifle",VisegrÃ¡d 24,2849,424,9661,"11:52 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/MattWallace888/status/1757087836849750046,"BREAKING: Remember how the media all reported that the shooter at Joel Osteen's Lakewood Church was a woman?

Turns out it was actually yet another shooting by a transgender Bernie Sanders supporter who changed their name from Jeffery Escalante to Genesse Moreno ",Matt Wallace,9770,453,25200,"12:02 PM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/CollinRugg/status/1757083595536314505,"JUST IN: The shooter at Joel Osteen's Lakewood Church has been identified as a transgender Bernie Sanders supporter.

Shocker.

The individual was identified as Genesse Moreno who was previously known as Jeffery Escalante.

Moreno, who is clearly unstable, allegedly brought a 5-year old to the shooting who was shot during the incident.

The child is in critical condition.

The gun that was used to carry out the mass shooting allegedly had ""free Palestine"" on it.|

Back in 2020, Moreno shared a photo of Bernie Sanders on Instagram with the caption: ""I WANT HIM IN THE OFFICE as the US PRESIDENT.""",Collin Rugg,4439,449,14900,"11:45 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/4Mischief/status/1757147660744626557,"The shooter at Lakewood Church in Houston, Texas was a transgender. Born a man, transitioned to a woman. 

Is transgenderism a mental disorder and should it be redefined that way again?

How will the left identify him as a MAGA extremist or a â€œmostlyâ€ white supremacist?",â€¢ á—°ISá‘•á•¼Iá—´á–´ â„¢ â€¢,688,48,1392,"4:00 PM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/SaraGonzalesTX/status/1757068047553007739," BREAKING: Lakewood Church shooter identified as a transgender, legal name Genesse Moreno but went by the name â€œJeffrey.â€ ",Sara Gonzales,3578,1149,9073,"10:44 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/libsoftiktok/status/1757079921414091105,"BREAKING: The Lakewood Church shooter was transgender. He went by the name â€œGenesseâ€ and previously â€œJeffrey.â€

Another act of trans terrorism. We need to have a national conversation about the LGBTQ movement turning youth into violent extremists.",Libs of TikTok,4332,436,15900,"11:31 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/robbystarbuck/status/1757081304791756921,"The Lakewood Church shooter was a trans migrant from El Salvador and her gun had ""Free Palestine"" on it.

For those catching up, Genesse was a biological woman who identified as a man named Jeffrey.

Wokeness is dangerous. Thank God for the 2 good guys who stopped her. ",Robby Starbuck,1125,97,3281,"11:36 AM Â· Feb 12, 2024",lakewood_shooter_engagements
https://x.com/libsoftiktok/status/1820960870773747870,"Tim Walz calls Republicans â€œcreepyâ€ and â€œweird.â€

This is the guy who signed laws requiring tampons in boys bathrooms, allows kids to get their body parts chopped off, and wants p**n in schools.

Talk about weird and creepyâ€¦ ",Libs of TikTok,16500,695,67000,"7:11 PM Â· Aug 6, 2024",walz_tampons_engagements
https://x.com/MJTruthUltra/status/1822125067079123021," 911 â€” I just Witnessed a Homicide

Tim Walz Put Tampons in Little Boys Bathrooms & Protected Pedophiles! â€” That is Kamala Harris VP

He also Signed a Law allowing the Kidnapping of Children and He Abolished Columbus Day",MJTruthUltra,1208,10,3558,"12:17 AM Â· Aug 10, 2024",walz_tampons_engagements
https://x.com/SteveGuest/status/1850572457796674034,"UNHINGED: Gwen Walz says public schools stocking tampons in boys' bathrooms is about ""learning to read and closing gaps""",Steve Guest,546,196,1594,"12:17 PM Â· Oct 27, 2024",walz_tampons_engagements
https://x.com/EndWokeness/status/1820958589734756507,"Governor Tim Walz on Republicans:

""These guys are creepy and, yes, just weird as hell""

He put tampons in boys bathrooms.",End Wokeness,4517,299,34000,"7:02 PM Â· Aug 6, 2024",walz_tampons_engagements
https://x.com/Liz_Wheeler/status/1820996947815149881,Tampon Tim is hands down the best political nickname ever. Itâ€™s soâ€¦ savagely effective. In one word tells you EVERYTHING you need to know about Tim Walzâ€™s dangerous radicalism. He put tampons in menâ€™s bathrooms! Heâ€™ll trans kids. He took away parental rights. Heâ€™s woke & creepy.,Liz Wheeler,2867,103,9513,"9:34 PM Â· Aug 6, 2024",walz_tampons_engagements
https://x.com/Liz_Wheeler/status/1820821479086334134,"Tim Walz put tampons in men's bathrooms.

Tim Walz allows men in women's sports.

Tim Walz permits CHILDREN to undergo transgender genital mutilation surgeries.

Tim Walz is a dangerous & weird.

Kamala PICKED him. His radical policies are hers.",Liz Wheeler,10000,264,34600,"9:57 AM Â· Aug 6, 2024",walz_tampons_engagements
https://x.com/megynkelly/status/1822817730191335564,"1. Joe Biden was mentally unfit for months/years and Kamala, the Ds and the media lied to us all.
2. Those Olympic boxers are male and went thru male puberty.
3. Tim Walz signed a law requiring tampons in all grade 4-12 school bathrooms and made a point of including boysâ€™ bathrooms.
4. Walz knew his Natâ€™l Guard unit was going to Iraq & quit anyway. He knew the deployment was coming at least as of Feb â€˜05 (one vet says fall â€˜04) & didnâ€™t retire until May â€˜05. Some men in the until felt abandoned. 
5. Walz has repeatedly used a title he didnâ€™t earn (retired command Sgt major), said he was â€œin war,â€ and said (& let others say) that he served in Operation Enduring Freedom when he didnâ€™t. When it was brought to his officeâ€™s attâ€™n years ago by upset vets, he changed nothing.",Megyn Kelly,8322,303,34700,"10:09 PM Â· Aug 11, 2024",walz_tampons_engagements
https://x.com/charliekirk11/status/1826463097005244852,Walz put tampons in 10 year old boys bathrooms.,Charlie Kirk,839,57,5563,"11:35 PM Â· Aug 21, 2024",walz_tampons_engagements
